idx,Radiation
0,2.2045052756959853
1,2.2045059301653733
2,2.204506544497321
3,2.2045071736220976
4,2.2045078322892557
5,2.204508442412658
6,2.2045090990035794
7,2.2045097090907495
8,2.204510342444275
9,2.204510996889237
10,2.2045116091256727
11,2.2045122656848033
12,2.2045128779168546
13,2.20451353024914
14,2.204514136148838
15,2.2045147779489582
16,2.204515409155385
17,2.2045160446098455
18,2.204516671624841
19,2.204517302851747
20,2.2045179256598093
21,2.2045185758799466
22,2.2045192092164423
23,2.204519865785666
24,2.204520478029264
25,2.2045211303497916
26,2.2045217088022926
27,2.204522394928123
28,2.2045230324850023
29,2.204523642604122
30,2.2045242928356874
31,2.20452493041115
32,2.2045255426231876
33,2.2045261781023546
34,2.2045268304332484
35,2.2045274426596424
36,2.2045280971038954
37,2.204528711450183
38,2.2045293658979075
39,2.204529978126124
40,2.204530609367241
41,2.2045312659214855
42,2.2045318781574004
43,2.2045325072702804
44,2.2045331659594822
45,2.2045337760688604
46,2.204534430521547
47,2.204535065975968
48,2.2045356760871986
49,2.2045363326620793
50,2.2045369427813446
51,2.2045375592267025
52,2.2045382052346634
53,2.2045388660323333
54,2.2045394697967806
55,2.2045401285312227
56,2.204540742824156
57,2.204541376165925
58,2.2045420327329737
59,2.204542644956792
60,2.204543299417934
61,2.2045439116489502
62,2.204544566108841
63,2.2045451698969436
64,2.2045457567918945
65,2.2045464534652774
66,2.2045470762392414
67,2.2045477286048993
68,2.2045483429307104
69,2.2045489973941397
70,2.2045496117205525
71,2.2045502345243158
72,2.2045508931781974
73,2.2045515117539782
74,2.2045521662215615
75,2.2045527784229346
76,2.204553409666362
77,2.204554066231408
78,2.204554672138298
79,2.204555328698493
80,2.2045559409475772
81,2.2045565784952483
82,2.2045572329415184
83,2.2045578451672263
84,2.2045584975220454
85,2.204559111847757
86,2.204559766298599
87,2.2045603785379106
88,2.2045610097789115
89,2.2045616452501924
90,2.20456227647691
91,2.204562930922945
92,2.2045635410355033
93,2.2045641997078853
94,2.2045648119289463
95,2.204565445263639
96,2.2045660997501217
97,2.204566711964464
98,2.204567366401804
99,2.204567978671254
100,2.2045686119774173
101,2.2045692643421537
102,2.204569878676395
103,2.2045705310339447
104,2.204571143240444
105,2.2045717787092514
106,2.20457243107007
107,2.204573039046461
108,2.204573697714523
109,2.2045743099648365
110,2.2045749390749756
111,2.204575595639114
112,2.204576233210241
113,2.2045768454122543
114,2.2045774956809896
115,2.204578110003122
116,2.2045787454767285
117,2.204579397774312
118,2.2045800121506387
119,2.2045806391409464
120,2.2045812745879285
121,2.2045819121712644
122,2.2045825665966228
123,2.2045831767362873
124,2.2045838058268137
125,2.2045844434066413
